--------- beginning of main
08-05 16:46:00.808 I/ReactNativeJS(11939): [HRM-MOB] POST http://14.225.217.232:3001/api/hrm/auth/mobile/login x-company-id=(empty) Authorization=missing
08-05 16:46:01.943 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:01.945 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/operating-units x-company-id=holding Authorization=Bearer …
08-05 16:46:01.947 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees/92ea4177-ff8a-40f4-873e-fb9214a1f997?company_id=holding x-company-id=holding Authorization=Bearer …
08-05 16:46:01.949 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/operating-units x-company-id=holding Authorization=Bearer …
08-05 16:46:02.011 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=1&page_size=30&status=active&view=directory x-company-id=holding Authorization=Bearer …
08-05 16:46:02.014 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=500&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:02.074 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/payroll/payslips?company_id=holding&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
08-05 16:46:03.249 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/employees?company_id=holding&page=2&page_size=30&status=active&view=directory x-company-id=holding Authorization=Bearer …
08-05 16:46:03.421 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/records?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997&from_date=2026-08-05&to_date=2026-08-05&page=1&page_size=10 x-company-id=holding Authorization=Bearer …
08-05 16:46:03.423 I/ReactNativeJS(11939): [HRM-MOB] GET http://14.225.217.232:3001/api/hrm/attendance/leave-requests?company_id=6efaa5d6-a4a8-4bfd-805a-3c4f003e4013&employee_id=92ea4177-ff8a-40f4-873e-fb9214a1f997 x-company-id=holding Authorization=Bearer …
